Q,A
신불산 억새평원의 역사는 어떻게 되나요?,신불산 억새평원은 자연 경관을 감상할 수 있는 곳입니다.
신불산 억새평원에는 어떤 관광 시설이 있나요?,"신불산 억새평원에는 억새밭이 조성되어 있으며, 자연 경관을 감상할 수 있습니다."
신불산 억새평원으로의 교통은 어떻게 되나요?,"신불산 억새평원으로는 자동차로 이동할 수 있으며, 주차장이 마련되어 있습니다. 대중교통을 이용할 경우 버스나 택시를 이용할 수 있습니다."
간절곶 일출의 위치는 어디에 있나요?,간절곶 일출은 울산 중구 북부면에 위치해 있습니다.
간절곶 일출의 운영 시간은 어떻게 되나요?,간절곶 일출은 매일 24시간 개방되어 있습니다.
간절곶 일출의 역사는 어떻게 되나요?,간절곶 일출은 일출을 감상하기 좋은 명소입니다.
간절곶 일출에는 어떤 관광 시설이 있나요?,간절곶 일출에는 일출을 감상할 수 있는 공간이 조성되어 있습니다.
간절곶 일출으로의 교통은 어떻게 되나요?,"간절곶 일출로는 자동차로 이동할 수 있으며, 주차장이 마련되어 있습니다. 대중교통을 이용할 경우 버스나 택시를 이용할 수 있습니다."
울산고래축제의 개최시기는 언제인가요?,울산고래축제는 4월 24일부터 4월 27일까지 개최됩니다.
울산고래축제에서 주요 내용은 무엇인가요?,울산고래축제의 주요 내용은 선사 고래잡이 재현 체험 행사 고래바다 여행 선체험 등입니다.
울산고래축제는 어디서 열리나요?,울산고래축제는 태화강 고수부지 및 장생포 일원에서 열립니다.
울산고래축제의 주최/주관은 누구인가요?,울산고래축제의 주최/주관은 남구(고래과)입니다.
울산옹기축제의 개최시기는 언제인가요?,울산옹기축제는 5월 2일부터 5월 5일까지 개최됩니다.
울산옹기축제에서 주요 내용은 무엇인가요?,울산옹기축제의 주요 내용은 전국옹기만들기대회 옹기장인시연 옹기할배 마당놀이 옹기등불달기 등입니다.
울산옹기축제는 어디서 열리나요?,울산옹기축제는 외고산옹기마을에서 열립니다.
울산옹기축제의 주최/주관은 누구인가요?,울산옹기축제의 주최/주관은 울주군(문화관광과)입니다.
울산쇠부리축제의 개최시기는 언제인가요?,울산쇠부리축제는 5월 9일부터 5월 11일까지 개최됩니다.
울산쇠부리축제에서 주요 내용은 무엇인가요?,울산쇠부리축제의 주요 내용은 쇠부리놀이 재연 전통제철복원 팔도대장간마을 등 체험부스 운영 등입니다.
울산쇠부리축제는 어디서 열리나요?,울산쇠부리축제는 북구청광장에서 열립니다.
울산대공원 장미축제의 개최시기는 언제인가요?,울산대공원 장미축제는 5월 29일부터 6월 2일까지 개최됩니다.
울산대공원 장미축제에서 주요 내용은 무엇인가요?,울산대공원 장미축제의 주요 내용은 개막식 공연행사 체험전시 행사 레이져 쇼 뮤직박스 운영 등입니다.
울산대공원 장미축제는 어디서 열리나요?,울산대공원 장미축제는 울산대공원 일원에서 열립니다.
울산대공원 장미축제의 주최/주관은 누구인가요?,울산대공원 장미축제의 주최/주관은 시(녹지공원과) SK입니다.
울산조선해양축제의 개최시기는 언제인가요?,울산조선해양축제는 6월 28일부터 7월 27일까지 개최됩니다.
울산조선해양축제에서 주요 내용은 무엇인가요?,울산조선해양축제의 주요 내용은 기발한배 콘테스트 해양불꽃쇼 방어잡기대회 핀수영대회 등입니다.
울산조선해양축제는 어디서 열리나요?,울산조선해양축제는 일산해수욕장에서 열립니다.
울산조선해양축제의 주최/주관은 누구인가요?,울산조선해양축제의 주최/주관은 동구(문화체육과)입니다.
울산서머페스티벌의 개최시기는 언제인가요?,울산서머페스티벌은 7월부터 8월까지 개최됩니다.
울산서머페스티벌에서 주요 내용은 무엇인가요?,울산서머페스티벌의 주요 내용은 트로트 레게 힙합 영페스티발 7080콘서트 등입니다.
울산서머페스티벌은 어디서 열리나요?,울산서머페스티벌은 진하 일산해수욕장 외에서 열립니다.
울산서머페스티벌의 주최/주관은 누구인가요?,울산서머페스티벌의 주최/주관은 시(문화예술과) 울산MBC입니다.
울산아트페스티벌의 개최시기는 언제인가요?,울산아트페스티벌은 8월에 개최됩니다.
울산아트페스티벌에서 주요 내용은 무엇인가요?,울산아트페스티벌의 주요 내용은 국제해변 무용제 락 페스티벌 등입니다.
울산아트페스티벌은 어디서 열리나요?,울산아트페스티벌은 진하해수욕장 일원에서 열립니다.
울산아트페스티벌의 주최/주관은 누구인가요?,울산아트페스티벌의 주최/주관은 시(문화예술과) 울주군(문화관광과)입니다.
처용문화제의 개최시기는 언제인가요?,처용문화제는 10월 2일부터 10월 5일까지 개최됩니다.
처용문화제에서 주요 내용은 무엇인가요?,처용문화제의 주요 내용은 처용맞이 월드뮤직페스티발 등입니다.
처용문화제는 어디서 열리나요?,처용문화제는 문화예술회관 달동 문화공원에서 열립니다.
처용문화제의 주최/주관은 누구인가요?,처용문화제의 주최/주관은 시(문화예술과)입니다.
울산문화거리축제의 개최시기는 언제인가요?,울산문화거리축제는 10월에 개최됩니다.
울산문화거리축제에서 주요 내용은 무엇인가요?,울산문화거리축제의 주요 내용은 개막식 축하공연 전시 체험행사 등입니다.
울산문화거리축제는 어디서 열리나요?,울산문화거리축제는 성남동 젊음의거리에서 열립니다.
울산문화거리축제의 주최/주관은 누구인가요?,울산문화거리축제의 주최/주관은 중구(문화체육과)입니다.
언양한우불고기축제의 개최시기는 언제인가요?,언양한우불고기축제는 10월에 개최됩니다.
언양한우불고기축제에서 주요 내용은 무엇인가요?,언양한우불고기축제의 주요 내용은 개막식 축하공연 한우깜작경매 등입니다.
언양한우불고기축제는 어디서 열리나요?,언양한우불고기축제는 언양한우불고기특구에서 열립니다.
언양한우불고기축제의 주최/주관은 누구인가요?,언양한우불고기축제의 주최/주관은 울주군(축수산과)입니다.
간절곶 해맞이축제의 개최시기는 언제인가요?,간절곶 해맞이축제는 12월 31일부터 1월 1일까지 개최됩니다.
간절곶 해맞이축제에서 주요 내용은 무엇인가요?,간절곶 해맞이축제의 주요 내용은 불꽃놀이 해돋이 관람 공연행사 등입니다.
간절곶 해맞이축제는 어디서 열리나요?,간절곶 해맞이축제는 간절곶에서 열립니다.
간절곶 해맞이축제의 주최/주관은 누구인가요?,간절곶 해맞이축제의 주최/주관은 시(문화예술과)입니다.
